T06,"Enrolment in primary, secondary and tertiary education levels",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
15,Northern Africa,2015,Students enrolled in secondary education (thousands),18934.1031,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2015,Gross enrollment ratio - Secondary (male),78.6103,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2015,Gross enrollment ratio - Secondary (female),78.1702,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2015,Students enrolled in tertiary education (thousands),6358.2920,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2015,Gross enrollment ratio - Tertiary (male),30.0797,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2015,Gross enrollment ratio - Tertiary (female),33.1289,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2018,Students enrolled in primary education (thousands),28398.2506,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2018,Gross enrollment ratio - Primary (male),102.6884,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2018,Gross enrollment ratio - Primary (female),100.0948,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2018,Students enrolled in secondary education (thousands),20102.2224,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2018,Gross enrollment ratio - Secondary (male),81.1671,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2018,Gross enrollment ratio - Secondary (female),81.2448,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2018,Students enrolled in tertiary education (thousands),6853.4869,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2018,Gross enrollment ratio - Tertiary (male),32.1847,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2018,Gross enrollment ratio - Tertiary (female),37.6613,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
202,Sub-Saharan Africa,2005,Students enrolled in primary education (thousands),113379.7750,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
